2026-02-08 14:47:13,246 | INFO | root | Бот Habit Tracker запущен
2026-02-08 14:47:13,417 | INFO | root | База данных подключена
2026-02-08 14:47:14,624 | INFO | root | Команды бота установлены
2026-02-08 14:47:14,631 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-08 14:47:14,632 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-02-08 14:47:14,632 | INFO | apscheduler.scheduler | Scheduler started
2026-02-08 14:47:14,633 | INFO | root | Планировщик запущен
2026-02-08 14:47:14,633 | INFO | aiogram.dispatcher | Start polling
2026-02-08 14:47:15,130 | INFO | aiogram.dispatcher | Run polling for bot @HabitTracke_bot id=8347167918 - 'Habit_TrackerBot'
2026-02-08 14:47:47,187 | INFO | aiogram.event | Update id=740455265 is handled. Duration 721 ms by bot id=8347167918
2026-02-08 14:47:52,236 | INFO | aiogram.event | Update id=740455266 is handled. Duration 107 ms by bot id=8347167918
2026-02-08 14:47:54,286 | INFO | aiogram.event | Update id=740455267 is handled. Duration 221 ms by bot id=8347167918
2026-02-08 14:47:55,876 | WARNING | habit | User 1522889435 deleted habit 19
2026-02-08 14:47:56,192 | INFO | aiogram.event | Update id=740455268 is handled. Duration 316 ms by bot id=8347167918
2026-02-08 14:48:00,015 | INFO | apscheduler.executors.default | Running job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-08 14:49:00 MSK)" (scheduled at 2026-02-08 14:48:00+03:00)
2026-02-08 14:48:00,015 | INFO | scheduler | Напоминания запущены
2026-02-08 14:48:00,020 | INFO | apscheduler.executors.default | Job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-08 14:49:00 MSK)" executed successfully
2026-02-08 14:48:27,530 | INFO | aiogram.event | Update id=740455269 is handled. Duration 712 ms by bot id=8347167918
2026-02-08 14:48:53,783 | INFO | aiogram.dispatcher | Polling stopped
2026-02-08 14:48:53,785 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-02-08 14:48:53,785 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8347167918)
2026-02-08 14:48:54,041 | INFO | aiogram.dispatcher | Polling stopped for bot @HabitTracke_bot id=8347167918 - 'Habit_TrackerBot'
2026-02-09 14:53:19,513 | INFO | root | Бот Habit Tracker запущен
2026-02-09 14:53:19,697 | INFO | root | База данных подключена
2026-02-09 14:53:20,568 | ERROR | asyncio | Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x000001F6544606E0>
2026-02-09 14:54:51,389 | INFO | root | Бот Habit Tracker запущен
2026-02-09 14:54:51,499 | INFO | root | База данных подключена
2026-02-09 14:54:52,547 | INFO | root | Команды бота установлены
2026-02-09 14:54:52,554 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-09 14:54:52,555 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-02-09 14:54:52,556 | INFO | apscheduler.scheduler | Scheduler started
2026-02-09 14:54:52,556 | INFO | root | Планировщик запущен 
2026-02-09 14:54:52,556 | INFO | aiogram.dispatcher | Start polling
2026-02-09 14:54:52,735 | INFO | aiogram.dispatcher | Run polling for bot @HabitTracke_bot id=8347167918 - 'Habit_TrackerBot'
